date,indicator,value,entity
2020-04-11,Daily hospital occupancy,652,Israel
2020-04-11,Weekly new ICU admissions,62.0,Israel
2020-04-11,Weekly new hospital admissions,482.0,Israel
2020-04-12,Daily hospital occupancy,697,Israel
2020-04-12,Weekly new ICU admissions,62.0,Israel
2020-04-12,Weekly new hospital admissions,473.0,Israel
2020-04-13,Daily hospital occupancy,724,Israel
2020-04-13,Weekly new ICU admissions,60.0,Israel
2020-04-13,Weekly new hospital admissions,471.0,Israel
2020-04-14,Daily hospital occupancy,712,Israel
2020-04-14,Weekly new ICU admissions,57.0,Israel
2020-04-14,Weekly new hospital admissions,468.0,Israel
2020-04-15,Daily hospital occupancy,722,Israel
2020-04-15,Weekly new ICU admissions,63.0,Israel
2020-04-15,Weekly new hospital admissions,479.0,Israel
2020-04-16,Daily hospital occupancy,729,Israel
2020-04-16,Weekly new ICU admissions,66.0,Israel
2020-04-16,Weekly new hospital admissions,466.0,Israel
2020-04-17,Daily hospital occupancy,700,Israel
2020-04-17,Weekly new ICU admissions,58.0,Israel
2020-04-17,Weekly new hospital admissions,459.0,Israel
2020-04-18,Daily hospital occupancy,673,Israel
2020-04-18,Weekly new ICU admissions,55.0,Israel
2020-04-18,Weekly new hospital admissions,460.0,Israel
2020-04-19,Daily hospital occupancy,661,Israel
2020-04-19,Weekly new ICU admissions,55.0,Israel
2020-04-19,Weekly new hospital admissions,410.0,Israel
2020-04-20,Daily hospital occupancy,635,Israel
2020-04-20,Weekly new ICU admissions,52.0,Israel
2020-04-20,Weekly new hospital admissions,368.0,Israel
2020-04-21,Daily hospital occupancy,583,Israel
2020-04-21,Weekly new ICU admissions,51.0,Israel
2020-04-21,Weekly new hospital admissions,325.0,Israel
2020-04-22,Daily hospital occupancy,555,Israel
2020-04-22,Weekly new ICU admissions,38.0,Israel
2020-04-22,Weekly new hospital admissions,292.0,Israel
2020-04-23,Daily hospital occupancy,532,Israel
2020-04-23,Weekly new ICU admissions,32.0,Israel
2020-04-23,Weekly new hospital admissions,273.0,Israel
2020-04-24,Daily hospital occupancy,486,Israel
2020-04-24,Weekly new ICU admissions,33.0,Israel
2020-04-24,Weekly new hospital admissions,251.0,Israel
2020-04-25,Daily hospital occupancy,459,Israel
2020-04-25,Weekly new ICU admissions,28.0,Israel
2020-04-25,Weekly new hospital admissions,218.0,Israel
2020-04-26,Daily hospital occupancy,467,Israel
2020-04-26,Weekly new ICU admissions,25.0,Israel
2020-04-26,Weekly new hospital admissions,210.0,Israel
2020-04-27,Daily hospital occupancy,436,Israel
2020-04-27,Weekly new ICU admissions,17.0,Israel
2020-04-27,Weekly new hospital admissions,182.0,Israel
2020-04-28,Daily hospital occupancy,414,Israel
2020-04-28,Weekly new ICU admissions,17.0,Israel
2020-04-28,Weekly new hospital admissions,183.0,Israel
2020-04-29,Daily hospital occupancy,394,Israel
2020-04-29,Weekly new ICU admissions,17.0,Israel
2020-04-29,Weekly new hospital admissions,169.0,Israel
2020-04-30,Daily hospital occupancy,393,Israel
2020-04-30,Weekly new ICU admissions,13.0,Israel
2020-04-30,Weekly new hospital admissions,156.0,Israel
2020-05-01,Daily hospital occupancy,368,Israel
2020-05-01,Weekly new ICU admissions,12.0,Israel
2020-05-01,Weekly new hospital admissions,150.0,Israel
2020-05-02,Daily hospital occupancy,344,Israel
2020-05-02,Weekly new ICU admissions,12.0,Israel
2020-05-02,Weekly new hospital admissions,156.0,Israel
2020-05-03,Daily hospital occupancy,347,Israel
2020-05-03,Weekly new ICU admissions,8.0,Israel
2020-05-03,Weekly new hospital admissions,138.0,Israel
2020-05-04,Daily hospital occupancy,323,Israel
2020-05-04,Weekly new ICU admissions,7.0,Israel
2020-05-04,Weekly new hospital admissions,135.0,Israel
2020-05-05,Daily hospital occupancy,291,Israel
2020-05-05,Weekly new ICU admissions,4.0,Israel
2020-05-05,Weekly new hospital admissions,116.0,Israel
2020-05-06,Daily hospital occupancy,276,Israel
2020-05-06,Weekly new ICU admissions,4.0,Israel
2020-05-06,Weekly new hospital admissions,109.0,Israel
2020-05-07,Daily hospital occupancy,266,Israel
2020-05-07,Weekly new ICU admissions,6.0,Israel
2020-05-07,Weekly new hospital admissions,103.0,Israel
2020-05-08,Daily hospital occupancy,260,Israel
2020-05-08,Weekly new ICU admissions,4.0,Israel
2020-05-08,Weekly new hospital admissions,96.0,Israel
2020-05-09,Daily hospital occupancy,254,Israel
2020-05-09,Weekly new ICU admissions,4.0,Israel
2020-05-09,Weekly new hospital admissions,92.0,Israel
2020-05-10,Daily hospital occupancy,261,Israel
2020-05-10,Weekly new ICU admissions,8.0,Israel
2020-05-10,Weekly new hospital admissions,92.0,Israel
2020-05-11,Daily hospital occupancy,240,Israel
2020-05-11,Weekly new ICU admissions,9.0,Israel
2020-05-11,Weekly new hospital admissions,83.0,Israel
2020-05-12,Daily hospital occupancy,228,Israel
2020-05-12,Weekly new ICU admissions,10.0,Israel
2020-05-12,Weekly new hospital admissions,84.0,Israel
2020-05-13,Daily hospital occupancy,216,Israel
2020-05-13,Weekly new ICU admissions,12.0,Israel
2020-05-13,Weekly new hospital admissions,79.0,Israel
2020-05-14,Daily hospital occupancy,211,Israel
2020-05-14,Weekly new ICU admissions,11.0,Israel
2020-05-14,Weekly new hospital admissions,72.0,Israel
2020-05-15,Daily hospital occupancy,195,Israel
2020-05-15,Weekly new ICU admissions,10.0,Israel
2020-05-15,Weekly new hospital admissions,60.0,Israel
2020-05-16,Daily hospital occupancy,194,Israel
2020-05-16,Weekly new ICU admissions,9.0,Israel
2020-05-16,Weekly new hospital admissions,54.0,Israel
2020-05-17,Daily hospital occupancy,198,Israel
2020-05-17,Weekly new ICU admissions,6.0,Israel
2020-05-17,Weekly new hospital admissions,50.0,Israel
2020-05-18,Daily hospital occupancy,181,Israel
2020-05-18,Weekly new ICU admissions,6.0,Israel
2020-05-18,Weekly new hospital admissions,44.0,Israel
2020-05-19,Daily hospital occupancy,172,Israel
2020-05-19,Weekly new ICU admissions,5.0,Israel
2020-05-19,Weekly new hospital admissions,41.0,Israel
2020-05-20,Daily hospital occupancy,169,Israel
2020-05-20,Weekly new ICU admissions,3.0,Israel
2020-05-20,Weekly new hospital admissions,35.0,Israel
2020-05-21,Daily hospital occupancy,158,Israel
2020-05-21,Weekly new ICU admissions,2.0,Israel
2020-05-21,Weekly new hospital admissions,37.0,Israel
2020-05-22,Daily hospital occupancy,151,Israel
2020-05-22,Weekly new ICU admissions,2.0,Israel
2020-05-22,Weekly new hospital admissions,41.0,Israel
2020-05-23,Daily hospital occupancy,148,Israel
2020-05-23,Weekly new ICU admissions,2.0,Israel
2020-05-23,Weekly new hospital admissions,40.0,Israel
2020-05-24,Daily hospital occupancy,147,Israel
2020-05-24,Weekly new ICU admissions,1.0,Israel
2020-05-24,Weekly new hospital admissions,30.0,Israel
2020-05-25,Daily hospital occupancy,138,Israel
2020-05-25,Weekly new ICU admissions,0.0,Israel
2020-05-25,Weekly new hospital admissions,35.0,Israel
2020-05-26,Daily hospital occupancy,131,Israel
2020-05-26,Weekly new ICU admissions,0.0,Israel
2020-05-26,Weekly new hospital admissions,31.0,Israel
2020-05-27,Daily hospital occupancy,129,Israel
2020-05-27,Weekly new ICU admissions,1.0,Israel
2020-05-27,Weekly new hospital admissions,33.0,Israel
2020-05-28,Daily hospital occupancy,128,Israel
2020-05-28,Weekly new ICU admissions,1.0,Israel
2020-05-28,Weekly new hospital admissions,32.0,Israel
2020-05-29,Daily hospital occupancy,125,Israel
2020-05-29,Weekly new ICU admissions,2.0,Israel
2020-05-29,Weekly new hospital admissions,32.0,Israel
2020-05-30,Daily hospital occupancy,130,Israel
2020-05-30,Weekly new ICU admissions,2.0,Israel
2020-05-30,Weekly new hospital admissions,34.0,Israel
2020-05-31,Daily hospital occupancy,134,Israel
2020-05-31,Weekly new ICU admissions,2.0,Israel
2020-05-31,Weekly new hospital admissions,39.0,Israel
2020-06-01,Daily hospital occupancy,138,Israel
2020-06-01,Weekly new ICU admissions,2.0,Israel
2020-06-01,Weekly new hospital admissions,43.0,Israel
2020-06-02,Daily hospital occupancy,129,Israel
2020-06-02,Weekly new ICU admissions,3.0,Israel
2020-06-02,Weekly new hospital admissions,53.0,Israel
2020-06-03,Daily hospital occupancy,127,Israel
2020-06-03,Weekly new ICU admissions,2.0,Israel
2020-06-03,Weekly new hospital admissions,55.0,Israel
2020-06-04,Daily hospital occupancy,134,Israel
2020-06-04,Weekly new ICU admissions,2.0,Israel
