date,value,indicator,entity
2021-08-20,785,Daily hospital occupancy,Bolivia
2021-08-21,767,Daily hospital occupancy,Bolivia
2021-08-22,763,Daily hospital occupancy,Bolivia
2021-08-23,760,Daily hospital occupancy,Bolivia
2021-08-24,757,Daily hospital occupancy,Bolivia
2021-08-25,755,Daily hospital occupancy,Bolivia
2021-08-26,738,Daily hospital occupancy,Bolivia
2021-08-27,735,Daily hospital occupancy,Bolivia
2021-08-28,747,Daily hospital occupancy,Bolivia
2021-08-29,752,Daily hospital occupancy,Bolivia
2021-08-30,743,Daily hospital occupancy,Bolivia
2021-08-31,749,Daily hospital occupancy,Bolivia
2021-09-01,727,Daily hospital occupancy,Bolivia
2021-09-02,699,Daily hospital occupancy,Bolivia
2021-09-03,685,Daily hospital occupancy,Bolivia
2021-09-04,676,Daily hospital occupancy,Bolivia
2021-09-05,661,Daily hospital occupancy,Bolivia
2021-09-06,654,Daily hospital occupancy,Bolivia
2021-09-07,628,Daily hospital occupancy,Bolivia
2021-09-08,622,Daily hospital occupancy,Bolivia
2021-09-09,630,Daily hospital occupancy,Bolivia
2021-09-10,635,Daily hospital occupancy,Bolivia
2021-09-11,643,Daily hospital occupancy,Bolivia
2021-09-12,629,Daily hospital occupancy,Bolivia
2021-09-13,619,Daily hospital occupancy,Bolivia
2021-09-14,601,Daily hospital occupancy,Bolivia
2021-09-15,586,Daily hospital occupancy,Bolivia
2021-09-16,585,Daily hospital occupancy,Bolivia
2021-09-17,612,Daily hospital occupancy,Bolivia
2021-09-18,605,Daily hospital occupancy,Bolivia
2021-09-19,594,Daily hospital occupancy,Bolivia
2021-09-20,592,Daily hospital occupancy,Bolivia
2021-09-21,592,Daily hospital occupancy,Bolivia
2021-09-22,578,Daily hospital occupancy,Bolivia
2021-09-23,546,Daily hospital occupancy,Bolivia
2021-09-24,524,Daily hospital occupancy,Bolivia
2021-09-25,497,Daily hospital occupancy,Bolivia
2021-09-26,477,Daily hospital occupancy,Bolivia
2021-09-27,456,Daily hospital occupancy,Bolivia
2021-09-28,442,Daily hospital occupancy,Bolivia
2021-09-29,450,Daily hospital occupancy,Bolivia
2021-09-30,447,Daily hospital occupancy,Bolivia
2021-10-01,446,Daily hospital occupancy,Bolivia
2021-10-02,441,Daily hospital occupancy,Bolivia
2021-10-03,427,Daily hospital occupancy,Bolivia
2021-10-04,435,Daily hospital occupancy,Bolivia
2021-10-05,445,Daily hospital occupancy,Bolivia
2021-10-06,478,Daily hospital occupancy,Bolivia
2021-10-07,472,Daily hospital occupancy,Bolivia
2021-10-08,499,Daily hospital occupancy,Bolivia
2021-10-09,439,Daily hospital occupancy,Bolivia
2021-10-10,452,Daily hospital occupancy,Bolivia
2021-10-11,521,Daily hospital occupancy,Bolivia
2021-10-12,433,Daily hospital occupancy,Bolivia
2021-10-13,439,Daily hospital occupancy,Bolivia
2021-10-14,447,Daily hospital occupancy,Bolivia
2021-10-15,434,Daily hospital occupancy,Bolivia
2021-10-16,440,Daily hospital occupancy,Bolivia
2021-10-17,441,Daily hospital occupancy,Bolivia
2021-10-18,444,Daily hospital occupancy,Bolivia
2021-10-19,432,Daily hospital occupancy,Bolivia
2021-10-20,525,Daily hospital occupancy,Bolivia
2021-10-21,582,Daily hospital occupancy,Bolivia
2021-10-22,480,Daily hospital occupancy,Bolivia
2021-10-23,617,Daily hospital occupancy,Bolivia
2021-10-24,630,Daily hospital occupancy,Bolivia
2021-10-25,645,Daily hospital occupancy,Bolivia
2021-10-26,510,Daily hospital occupancy,Bolivia
2021-10-27,457,Daily hospital occupancy,Bolivia
2021-10-28,457,Daily hospital occupancy,Bolivia
2021-10-29,462,Daily hospital occupancy,Bolivia
2021-10-30,443,Daily hospital occupancy,Bolivia
2021-10-31,446,Daily hospital occupancy,Bolivia
2021-11-01,466,Daily hospital occupancy,Bolivia
2021-11-02,481,Daily hospital occupancy,Bolivia
2021-11-03,481,Daily hospital occupancy,Bolivia
2021-11-04,506,Daily hospital occupancy,Bolivia
2021-11-05,501,Daily hospital occupancy,Bolivia
2021-11-06,504,Daily hospital occupancy,Bolivia
