date,value,indicator,entity
2021-12-16,114,Daily ICU occupancy,Bolivia
2021-12-17,116,Daily ICU occupancy,Bolivia
2021-12-18,125,Daily ICU occupancy,Bolivia
2021-12-19,129,Daily ICU occupancy,Bolivia
2021-12-20,128,Daily ICU occupancy,Bolivia
2021-12-21,120,Daily ICU occupancy,Bolivia
2021-12-22,132,Daily ICU occupancy,Bolivia
2021-12-23,126,Daily ICU occupancy,Bolivia
2021-12-24,121,Daily ICU occupancy,Bolivia
2021-12-25,122,Daily ICU occupancy,Bolivia
2021-12-26,124,Daily ICU occupancy,Bolivia
2021-12-27,125,Daily ICU occupancy,Bolivia
2021-12-28,123,Daily ICU occupancy,Bolivia
2021-12-29,130,Daily ICU occupancy,Bolivia
2021-12-30,131,Daily ICU occupancy,Bolivia
2021-12-31,130,Daily ICU occupancy,Bolivia
2022-01-01,134,Daily ICU occupancy,Bolivia
2022-01-02,129,Daily ICU occupancy,Bolivia
2022-01-03,128,Daily ICU occupancy,Bolivia
2022-01-04,126,Daily ICU occupancy,Bolivia
2022-01-05,133,Daily ICU occupancy,Bolivia
2022-01-06,142,Daily ICU occupancy,Bolivia
2022-01-07,141,Daily ICU occupancy,Bolivia
2022-01-08,139,Daily ICU occupancy,Bolivia
2022-01-09,149,Daily ICU occupancy,Bolivia
2022-01-10,154,Daily ICU occupancy,Bolivia
2022-01-11,156,Daily ICU occupancy,Bolivia
2022-01-12,164,Daily ICU occupancy,Bolivia
2022-01-13,167,Daily ICU occupancy,Bolivia
2022-01-14,175,Daily ICU occupancy,Bolivia
2022-01-15,185,Daily ICU occupancy,Bolivia
2022-01-16,181,Daily ICU occupancy,Bolivia
2022-01-17,184,Daily ICU occupancy,Bolivia
2022-01-18,192,Daily ICU occupancy,Bolivia
2022-01-19,206,Daily ICU occupancy,Bolivia
2022-01-20,202,Daily ICU occupancy,Bolivia
2022-01-21,196,Daily ICU occupancy,Bolivia
2022-01-22,205,Daily ICU occupancy,Bolivia
2022-01-23,193,Daily ICU occupancy,Bolivia
2022-01-24,196,Daily ICU occupancy,Bolivia
2022-01-25,190,Daily ICU occupancy,Bolivia
2022-01-26,186,Daily ICU occupancy,Bolivia
2022-01-27,186,Daily ICU occupancy,Bolivia
2022-01-28,177,Daily ICU occupancy,Bolivia
2022-01-29,173,Daily ICU occupancy,Bolivia
2022-01-30,158,Daily ICU occupancy,Bolivia
2022-01-31,156,Daily ICU occupancy,Bolivia
2022-02-01,141,Daily ICU occupancy,Bolivia
2022-02-02,146,Daily ICU occupancy,Bolivia
2022-02-03,148,Daily ICU occupancy,Bolivia
2022-02-04,145,Daily ICU occupancy,Bolivia
2022-02-05,131,Daily ICU occupancy,Bolivia
2022-02-06,128,Daily ICU occupancy,Bolivia
2022-02-07,121,Daily ICU occupancy,Bolivia
2022-02-08,119,Daily ICU occupancy,Bolivia
2022-02-09,121,Daily ICU occupancy,Bolivia
2022-02-10,112,Daily ICU occupancy,Bolivia
2022-02-11,106,Daily ICU occupancy,Bolivia
2022-02-12,102,Daily ICU occupancy,Bolivia
2022-02-13,89,Daily ICU occupancy,Bolivia
2022-02-14,82,Daily ICU occupancy,Bolivia
2022-02-15,83,Daily ICU occupancy,Bolivia
2022-02-16,79,Daily ICU occupancy,Bolivia
2022-02-17,74,Daily ICU occupancy,Bolivia
2022-02-18,71,Daily ICU occupancy,Bolivia
2022-02-19,68,Daily ICU occupancy,Bolivia
2022-02-20,70,Daily ICU occupancy,Bolivia
2022-02-21,65,Daily ICU occupancy,Bolivia
2022-02-22,56,Daily ICU occupancy,Bolivia
2022-02-23,55,Daily ICU occupancy,Bolivia
2022-02-24,49,Daily ICU occupancy,Bolivia
2022-02-25,54,Daily ICU occupancy,Bolivia
2022-02-26,55,Daily ICU occupancy,Bolivia
2022-02-27,49,Daily ICU occupancy,Bolivia
2022-02-28,51,Daily ICU occupancy,Bolivia
2022-03-01,50,Daily ICU occupancy,Bolivia
2022-03-02,45,Daily ICU occupancy,Bolivia
2022-03-03,48,Daily ICU occupancy,Bolivia
2022-03-04,49,Daily ICU occupancy,Bolivia
2022-03-05,45,Daily ICU occupancy,Bolivia
2022-03-06,39,Daily ICU occupancy,Bolivia
2022-03-07,51,Daily ICU occupancy,Bolivia
2022-03-08,45,Daily ICU occupancy,Bolivia
2022-03-09,50,Daily ICU occupancy,Bolivia
2022-03-10,48,Daily ICU occupancy,Bolivia
2022-03-11,43,Daily ICU occupancy,Bolivia
2022-03-12,52,Daily ICU occupancy,Bolivia
