iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
CUW,North America,Curacao,2022-01-28,36875.0,153.0,179.714,227.0,2.0,2.286,223761.499,928.421,1090.526,1377.461,12.136,13.87,,,,,,,,,,,,,,,,,,,239270.0,105925.0,97507.0,35838.0,385.0,267.0,145.19,64.28,59.17,21.75,1620.0,32.0,0.019,,164796.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,
CYP,Europe,Cyprus,2022-01-28,248941.0,2587.0,1939.571,726.0,2.0,3.714,277834.387,2887.261,2164.688,810.263,2.232,4.145,0.7,31.0,34.598,329.0,367.185,17.0,19.144,136.0,152.026,92276.0,22222146.0,24801.364,102.986,90320.0,100.803,0.017,58.9,tests performed,1679808.0,658527.0,626637.0,394644.0,,3716.0,187.48,73.5,69.94,44.04,4147.0,352.0,0.039,48.15,896005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,,,
CZE,Europe,Czechia,2022-01-28,2923680.0,34853.0,31132.286,37145.0,31.0,21.143,272615.558,3249.832,2902.898,3463.548,2.891,1.971,1.58,259.0,24.15,1967.0,183.411,87.0,8.112,1116.0,104.06,142900.0,48778657.0,4548.316,13.325,138034.0,12.871,0.225,4.4,tests performed,16947317.0,6919788.0,6771021.0,3664924.0,38259.0,33025.0,158.02,64.52,63.14,34.17,3079.0,2063.0,0.019,37.96,10724553.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,,,,
COD,Africa,Democratic Republic of Congo,2022-01-28,84998.0,72.0,102.143,1278.0,0.0,0.0,920.111,0.779,1.106,13.834,0.0,0.0,0.91,,,,,,,,,,,,,,,,,,393656.0,314160.0,166385.0,,,1009.0,0.43,0.34,0.18,,11.0,908.0,0.001,47.22,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,,
DNK,Europe,Denmark,2022-01-28,1636206.0,53655.0,45215.857,3700.0,26.0,18.429,281458.971,9229.694,7777.999,636.471,4.473,3.17,1.34,33.0,5.677,967.0,166.343,,,1751.0,301.206,200620.0,58643556.0,10087.822,34.511,217695.0,37.448,0.196,5.1,tests performed,13052178.0,4844414.0,4721135.0,3533653.0,13723.0,17853.0,224.52,83.33,81.21,60.79,3071.0,656.0,0.011,66.67,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,1131.4,0.99,1.71,194.623
DJI,Africa,Djibouti,2022-01-28,15429.0,18.0,25.571,189.0,0.0,0.0,15395.177,17.961,25.515,188.586,0.0,0.0,0.89,,,,,,,,,,,,,,,,,,147166.0,126874.0,86946.0,,,568.0,14.68,12.66,8.68,,567.0,566.0,0.056,49.07,1002197.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,,,,
DMA,North America,Dominica,2022-01-28,8838.0,321.0,125.857,51.0,0.0,0.286,122457.463,4447.708,1743.85,706.645,0.0,3.959,1.1,,,,,,,,,,,,,,,,,,60098.0,31195.0,28903.0,,,46.0,83.27,43.22,40.05,,637.0,22.0,0.03,37.04,72172.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,,,,
DOM,North America,Dominican Republic,2022-01-28,551528.0,1508.0,2932.857,4298.0,3.0,2.714,50350.776,137.67,267.75,392.378,0.274,0.248,0.83,,,,,,,,,,,,,,,,,,14619342.0,6991107.0,5779813.0,1821870.0,50037.0,22787.0,133.46,63.82,52.77,16.63,2080.0,1769.0,0.016,37.96,10953714.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,,,,
ECU,South America,Ecuador,2022-01-28,691898.0,33853.0,8913.0,34362.0,83.0,18.571,38678.425,1892.448,498.254,1920.902,4.64,1.038,1.02,,,,,,,,,14893.0,2296176.0,128.361,0.833,10587.0,0.592,0.865,1.2,people tested,29706090.0,14615853.0,13241574.0,2381687.0,70525.0,69807.0,166.06,81.71,74.02,13.31,3902.0,10193.0,0.057,60.65,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,67235.5,42.56,34.95,3758.593
EGY,Africa,Egypt,2022-01-28,419460.0,2007.0,1790.571,22522.0,26.0,33.286,4023.276,19.25,17.174,216.021,0.249,0.319,1.29,,,,,,,,,,,,,,,,,,63630482.0,37848068.0,26217949.0,,,267834.0,61.03,36.3,25.15,,2569.0,103356.0,0.099,,104258327.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,
SLV,North America,El Salvador,2022-01-28,127012.0,0.0,0.0,3877.0,6.0,4.286,19484.851,0.0,0.0,594.769,0.92,0.657,0.82,,,,,,,,,,,,,,,,,,9936259.0,4526149.0,4201347.0,1208763.0,13099.0,10304.0,152.43,69.44,64.45,18.54,1581.0,1574.0,0.024,35.19,6518500.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,,,,
GNQ,Africa,Equatorial Guinea,2022-01-28,15802.0,28.0,34.857,182.0,0.0,0.429,10898.75,19.312,24.041,125.527,0.0,0.296,0.7,,,,,,,,,501.0,277571.0,191.443,0.346,301.0,0.208,0.105,9.6,tests performed,455655.0,251474.0,204181.0,,,215.0,31.43,17.34,14.08,,148.0,163.0,0.011,,1449891.0,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,,,,
ERI,Africa,Eritrea,2022-01-28,9489.0,53.0,42.429,97.0,0.0,1.0,2634.763,14.716,11.781,26.934,0.0,0.278,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,3601462.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,,,,
EST,Europe,Estonia,2022-01-28,319505.0,5820.0,5218.286,2025.0,2.0,3.714,241101.64,4391.83,3937.77,1528.085,1.509,2.803,1.59,19.0,14.338,320.0,241.475,22.0,16.554,262.0,197.897,12584.0,2801791.0,2114.259,9.496,12292.0,9.276,0.409,2.4,tests performed,1535938.0,853400.0,827879.0,,591.0,552.0,115.9,64.4,62.47,,417.0,343.0,0.026,42.59,1325188.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,3221.9,9.99,5.82,2431.278
SWZ,Africa,Eswatini,2022-01-28,68301.0,62.0,36.286,1373.0,0.0,1.0,58258.961,52.884,30.951,1171.133,0.0,0.853,0.5,,,,,,,,,,,,,,,,,,460130.0,365273.0,328701.0,,,3311.0,39.25,31.16,28.04,,2824.0,2054.0,0.175,49.07,1172369.0,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,,,,
ETH,Africa,Ethiopia,2022-01-28,464383.0,462.0,447.286,7311.0,8.0,12.143,3939.582,3.919,3.795,62.023,0.068,0.103,0.43,,,,,,,,,6002.0,4317909.0,36.631,0.051,7282.0,0.062,0.065,15.4,tests performed,10972564.0,9372021.0,1600543.0,,4518.0,1012.0,9.31,7.95,1.36,,9.0,426.0,0.0,40.74,117876226.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,
OWID_EUR,,Europe,2022-01-28,123628751.0,1713963.0,1543979.857,1613072.0,3287.0,2959.286,165066.57,2288.448,2061.49,2153.741,4.389,3.951,,,,,,,,,,,,,,7855612.0,,,,,1190675904.0,500811313.0,472109492.0,246364533.0,625235.0,2335788.0,158.98,66.87,63.04,32.89,3119.0,343411.0,0.046,,748962983.0,,,,,,,,,,,,,,,,,,
OWID_EUN,,European Union,2022-01-28,84638726.0,1393335.0,1266591.143,951950.0,1990.0,1730.143,189267.967,3115.757,2832.334,2128.738,4.45,3.869,,,,,,,,,,,,,,,,,,,814395657.0,332401555.0,317212679.0,190546473.0,557030.0,1828654.0,182.11,74.33,70.93,42.61,4089.0,159790.0,0.036,,447189915.0,,,,,,,,,,,,,,,,,,
FRO,Europe,Faeroe Islands,2022-01-28,17403.0,766.0,779.286,18.0,0.0,0.429,354779.524,15615.763,15886.607,366.95,0.0,8.737,,,,,,,,,,3606.0,737450.0,15033.739,73.512,3563.0,72.636,0.219,4.6,people tested,102553.0,41666.0,40812.0,20075.0,491.0,218.0,209.07,84.94,83.2,40.93,4444.0,14.0,0.029,29.63,49053.0,35.308,,,,,,,,,,,,80.67,,,,,
FLK,South America,Falkland Islands,2022-01-28,89.0,0.0,0.429,,,,25226.757,0.0,121.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3528.0,,,,,,,,,,,,,81.44,,,,,
FJI,Oceania,Fiji,2022-01-28,62373.0,170.0,206.0,798.0,7.0,4.286,69080.816,188.282,228.154,883.82,7.753,4.747,1.35,,,,,,,,,,,,,,,,,,1277372.0,664363.0,613009.0,,,181.0,141.47,73.58,67.89,,200.0,64.0,0.007,87.96,902899.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,,,,
FIN,Europe,Finland,2022-01-28,475431.0,4766.0,5408.286,1942.0,23.0,7.0,85688.548,858.992,974.754,350.013,4.145,1.262,0.26,53.0,9.552,641.0,115.53,,,,,19810.0,9396666.0,1693.593,3.57,20853.0,3.758,0.299,3.3,tests performed,10784471.0,4293901.0,4124164.0,2366406.0,37696.0,46080.0,194.37,77.39,74.33,42.65,8305.0,1565.0,0.028,43.06,5548361.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,,,,
FRA,Europe,France,2022-01-28,18528177.0,353503.0,353596.857,130345.0,263.0,276.0,274809.068,5243.14,5244.532,1933.271,3.901,4.094,1.23,3694.0,54.789,30982.0,459.524,2060.0,30.554,19752.0,292.961,1691584.0,227619208.0,3376.038,25.089,1259594.0,18.682,0.327,3.1,people tested,135520401.0,53691946.0,51283892.0,31616977.0,251186.0,286800.0,201.0,79.64,76.06,46.89,4254.0,16260.0,0.024,69.44,67422000.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,,,,
PYF,Oceania,French Polynesia,2022-01-28,48044.0,250.0,109.857,636.0,0.0,0.0,170046.791,884.849,388.828,2251.057,0.0,0.0,,,,,,,,,,,,,,,,,,,342983.0,176934.0,166049.0,,,722.0,121.4,62.62,58.77,,2555.0,226.0,0.08,,282534.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,
GAB,Africa,Gabon,2022-01-28,46722.0,253.0,116.143,301.0,0.0,0.143,20502.635,111.022,50.966,132.085,0.0,0.063,0.98,,,,,,,,,,1533345.0,672.865,,1961.0,0.861,0.078,12.9,tests performed,499247.0,277616.0,221631.0,,,3128.0,21.91,12.18,9.73,,1373.0,1701.0,0.075,47.22,2278829.0,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,,,,
GMB,Africa,Gambia,2022-01-28,11572.0,0.0,0.0,347.0,0.0,0.0,4653.113,0.0,0.0,139.529,0.0,0.0,0.48,,,,,,,,,,138255.0,55.592,,169.0,0.068,0.0,2.6,tests performed,349875.0,317855.0,304688.0,,,2299.0,14.07,12.78,12.25,,924.0,2283.0,0.092,,2486937.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,
GEO,Asia,Georgia,2022-01-28,1127234.0,17066.0,13789.143,14870.0,30.0,34.143,283240.778,4288.184,3464.806,3736.394,7.538,8.579,1.65,,,,,,,,,64412.0,12229939.0,3073.024,16.185,25381.0,6.377,0.437,2.3,tests performed,2695237.0,1478388.0,1216849.0,,18717.0,7387.0,67.72,37.15,30.58,,1856.0,5402.0,0.136,44.44,3979773.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,,,,
DEU,Europe,Germany,2022-01-28,9661657.0,184054.0,146599.429,117670.0,182.0,143.143,115156.171,2193.718,1747.302,1402.495,2.169,1.706,1.43,2260.0,26.937,,,1202.0,14.326,3927.0,46.805,,99456413.0,1185.409,,356699.0,4.251,0.323,3.1,tests performed,163563859.0,62880617.0,61261839.0,43016216.0,457757.0,418088.0,194.95,74.95,73.02,51.27,4983.0,37815.0,0.045,86.11,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,
GHA,Africa,Ghana,2022-01-28,156515.0,123.0,232.0,1388.0,4.0,4.429,4932.383,3.876,7.311,43.741,0.126,0.14,1.04,,,,,,,,,4642.0,2222501.0,70.039,0.146,3945.0,0.124,0.054,18.4,tests performed,10015888.0,6877682.0,3138206.0,,,170013.0,31.56,21.67,9.89,,5358.0,119502.0,0.377,43.52,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,
GIB,Europe,Gibraltar,2022-01-28,12610.0,169.0,150.429,100.0,0.0,0.0,374283.933,5016.176,4464.948,2968.152,0.0,0.0,,,,,,,,,,,,,,,,,,,110843.0,41343.0,40696.0,28804.0,245.0,98.0,329.0,122.71,120.79,85.49,2909.0,7.0,0.021,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,,
GRC,Europe,Greece,2022-01-28,1890296.0,22361.0,18203.714,23195.0,112.0,102.714,182271.923,2156.161,1755.294,2236.579,10.8,9.904,0.87,,,,,278.0,26.776,3328.0,320.938,235938.0,55990083.0,5398.848,22.75,263906.0,25.447,0.068,14.7,samples tested,18971805.0,7724981.0,7259074.0,4705556.0,41770.0,44381.0,182.94,74.49,70.0,45.37,4279.0,7777.0,0.075,77.78,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,
GRL,North America,Greenland,2022-01-28,10533.0,174.0,160.857,5.0,0.0,0.143,185218.401,3059.717,2828.606,87.923,0.0,2.512,,,,,,,,,,,,,,,,,,,79521.0,41174.0,38347.0,,14.0,21.0,139.83,72.4,67.43,,369.0,13.0,0.023,34.26,56868.0,0.137,,,,,,199.941,2.16,,,,,71.7,,,,,
GRD,North America,Grenada,2022-01-28,12246.0,156.0,183.714,210.0,0.0,0.714,108357.298,1380.348,1625.574,1858.16,0.0,6.32,1.15,,,,,,,,,,,,,,,,,,83322.0,42297.0,36527.0,,,128.0,73.73,37.43,32.32,,1133.0,35.0,0.031,,113015.0,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,,,,
GTM,North America,Guatemala,2022-01-28,685542.0,4234.0,2789.286,16343.0,26.0,14.0,37564.217,232.002,152.839,895.513,1.425,0.767,1.37,,,,,,,,,14440.0,3553975.0,194.74,0.791,12605.0,0.691,0.199,5.0,people tested,13179817.0,6874141.0,5214653.0,1091023.0,67342.0,67201.0,72.22,37.67,28.57,5.98,3682.0,12713.0,0.07,43.98,18249868.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,,,,
GGY,Europe,Guernsey,2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145743.0,,,,,79.0,229.93,,,,1246.0,,,,63385.0,,,,,,,,,,,,,,,,,,
GIN,Africa,Guinea,2022-01-28,36013.0,0.0,42.0,416.0,0.0,0.857,2668.176,0.0,3.112,30.821,0.0,0.064,0.94,,,,,,,,,,,,,,,,,,4673214.0,3453176.0,1867426.0,,18433.0,25922.0,34.62,25.58,13.84,,1921.0,25032.0,0.185,60.19,13497237.0,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,,,,
GNB,Africa,Guinea-Bissau,2022-01-28,7544.0,25.0,37.143,154.0,0.0,0.143,3743.01,12.404,18.429,76.408,0.0,0.071,1.44,,,,,,,,,,,,,,,,,,419652.0,394027.0,24133.0,,,578.0,20.82,19.55,1.2,,287.0,312.0,0.015,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GUY,South America,Guyana,2022-01-28,58604.0,408.0,552.571,1156.0,0.0,4.857,74151.398,516.241,699.166,1462.682,0.0,6.146,1.28,,,,,,,,,,442695.0,560.14,,2771.0,3.506,0.339,3.0,tests performed,757464.0,419509.0,306831.0,31124.0,,1798.0,95.84,53.08,38.82,3.94,2275.0,359.0,0.045,,790329.0,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,
HTI,North America,Haiti,2022-01-28,28875.0,314.0,108.286,784.0,0.0,0.571,2501.802,27.206,9.382,67.928,0.0,0.05,0.84,,,,,,,,,,,,,,,,,,204902.0,129714.0,79410.0,,,251.0,1.78,1.12,0.69,,22.0,226.0,0.002,43.52,11541683.0,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,,,,
OWID_HIC,,High income,2022-01-28,193221785.0,2450302.0,2216517.143,2056818.0,5949.0,4592.571,159039.408,2016.825,1824.399,1692.952,4.897,3.78,,,,,,,,,,,,,,,,,,,2195713837.0,944281719.0,872422460.0,414841639.0,2774238.0,4334637.0,180.73,77.72,71.81,34.15,3568.0,495040.0,0.041,,1214930230.0,,,,,,,,,,,,,,,,,,
HND,North America,Honduras,2022-01-28,391874.0,729.0,622.714,10512.0,14.0,6.286,38942.088,72.444,61.882,1044.62,1.391,0.625,0.59,,,,,,,,,,,,,,,,,,10272600.0,5035861.0,4381943.0,855171.0,,50004.0,102.08,50.04,43.55,8.5,4969.0,130.0,0.001,41.67,10062994.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,,,,
HKG,Asia,Hong Kong,2022-01-28,13533.0,83.0,87.857,213.0,0.0,0.0,1791.786,10.989,11.632,28.201,0.0,0.0,,,,,,,,,,,32291326.0,4275.411,,111213.0,14.725,0.0,4761.9,tests performed,10981316.0,5315600.0,4779451.0,886265.0,49319.0,44368.0,145.39,70.38,63.28,11.73,5874.0,16894.0,0.224,62.04,7552800.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,,,,
HUN,Europe,Hungary,2022-01-28,1508358.0,17869.0,15271.571,41229.0,78.0,58.143,156563.487,1854.754,1585.148,4279.459,8.096,6.035,1.75,,,2674.0,277.554,,,,,48756.0,9485888.0,984.61,5.061,39256.0,4.075,0.381,2.6,tests performed,15760570.0,6347426.0,6085866.0,3573570.0,,25387.0,163.59,65.88,63.17,37.09,2635.0,3183.0,0.033,22.22,9634162.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,
ISL,Europe,Iceland,2022-01-28,64486.0,1298.0,1415.286,46.0,0.0,0.286,174857.372,3519.599,3837.626,124.732,0.0,0.775,1.25,,,39.0,105.751,,,24.0,65.91,,,,,,,,,,768450.0,307095.0,285974.0,231769.0,,2206.0,208.37,83.27,77.54,62.85,5982.0,356.0,0.097,40.74,368792.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,,,,
IND,Asia,India,2022-01-28,40858241.0,235532.0,279215.714,493198.0,871.0,616.286,29322.503,169.033,200.383,353.951,0.625,0.442,1.42,,,,,,,,,1582307.0,723748555.0,519.409,1.136,1744231.0,1.252,0.161,6.2,samples tested,1639112704.0,935294849.0,694410120.0,9407735.0,2929184.0,5539846.0,117.63,67.12,49.84,0.68,3976.0,1886805.0,0.135,71.76,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,
IDN,Asia,Indonesia,2022-01-28,4319175.0,9905.0,5561.0,144268.0,7.0,9.571,15628.698,35.841,20.122,522.026,0.025,0.035,2.15,,,,,,,,,258145.0,47876593.0,173.239,0.934,207101.0,0.749,0.023,44.0,people tested,309473499.0,183060035.0,121075830.0,,1299159.0,1134498.0,111.98,66.24,43.81,,4105.0,558042.0,0.202,,276361788.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,
OWID_INT,,International,2022-01-28,721.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,Asia,Iran,2022-01-28,6310452.0,16757.0,9801.286,132356.0,23.0,26.286,74215.501,197.074,115.27,1556.603,0.27,0.309,1.98,,,,,,,,,88216.0,44323800.0,521.28,1.037,91853.0,1.08,0.074,13.5,tests performed,129913186.0,60568566.0,53796203.0,15548417.0,381881.0,385202.0,152.79,71.23,63.27,18.29,4530.0,23374.0,0.027,47.22,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,250693.8,31.08,1.67,2948.341
IRQ,Asia,Iraq,2022-01-28,2191956.0,8554.0,6790.571,24347.0,17.0,10.0,53229.494,207.725,164.902,591.243,0.413,0.243,1.45,,,,,,,,,28509.0,17324974.0,420.72,0.692,25811.0,0.627,0.255,3.9,samples tested,15370064.0,9093724.0,6214980.0,,,47769.0,37.32,22.08,15.09,,1160.0,27886.0,0.068,68.52,41179351.0,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,,,,
IRL,Europe,Ireland,2022-01-28,1169645.0,5109.0,5013.857,6136.0,49.0,7.0,234731.594,1025.306,1006.212,1231.41,9.834,1.405,0.51,79.0,15.854,845.0,169.58,38.0,7.654,775.0,155.506,16573.0,10893689.0,2186.213,3.326,17113.0,3.434,0.295,3.4,tests performed,10315530.0,4012382.0,3866510.0,2674569.0,7993.0,9756.0,207.02,80.52,77.6,53.67,1958.0,2320.0,0.047,36.11,4982904.0,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,,,,
IMN,Europe,Isle of Man,2022-01-28,21376.0,84.0,135.857,71.0,1.0,0.143,250275.143,983.491,1590.647,831.284,11.708,1.673,,,,,,,,,,,,,,,,,,,184781.0,69141.0,66075.0,49565.0,158.0,124.0,216.35,80.95,77.36,58.03,1452.0,13.0,0.015,,85410.0,147.872,,,,,,,,,,,,81.4,,,,,
ISR,Asia,Israel,2022-01-28,2705096.0,45376.0,76726.714,8599.0,43.0,32.571,291152.298,4883.866,8258.176,925.519,4.628,3.506,1.64,291.0,31.321,2348.0,252.718,1256.0,135.185,3222.0,346.787,247337.0,44393791.0,4778.15,26.621,348095.0,37.466,0.228,4.4,tests performed,17828860.0,6689622.0,6080570.0,5058668.0,10959.0,11058.0,191.89,72.0,65.45,54.45,1190.0,729.0,0.008,56.48,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,,,,
ITA,Europe,Italy,2022-01-28,10683948.0,144347.0,154298.857,145537.0,378.0,367.714,176981.872,2391.139,2555.993,2410.851,6.262,6.091,1.03,1645.0,27.25,21498.0,356.119,881.0,14.594,9803.0,162.389,1039756.0,167284466.0,2771.103,17.224,1024638.0,16.973,0.156,6.4,tests performed,126038452.0,49940428.0,45798296.0,31803978.0,247171.0,476756.0,208.79,82.73,75.87,52.68,7898.0,43237.0,0.072,76.85,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
JAM,North America,Jamaica,2022-01-28,123047.0,584.0,761.429,2635.0,18.0,9.571,41381.729,196.404,256.075,886.172,6.054,3.219,1.09,,,,,,,,,2262.0,788072.0,265.035,0.761,2729.0,0.918,0.308,3.2,samples tested,1295447.0,742040.0,615083.0,19428.0,6285.0,2774.0,43.57,24.96,20.69,0.65,933.0,943.0,0.032,,2973462.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,,,,
JPN,Asia,Japan,2022-01-28,2514804.0,81710.0,63333.286,18692.0,44.0,30.857,19950.719,648.231,502.443,148.289,0.349,0.245,1.98,1126.0,8.933,17269.0,137.0,,,,,214817.0,31361308.0,248.799,1.704,207927.0,1.65,0.283,3.5,people tested,204528007.0,101396570.0,99708897.0,3422540.0,299098.0,237492.0,162.26,80.44,79.1,2.72,1884.0,15593.0,0.012,47.22,126050796.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,,,,
JEY,Europe,Jersey,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218898.0,82107.0,78042.0,58749.0,,186.0,216.57,81.24,77.21,58.13,1840.0,22.0,0.022,,101073.0,,,,,,,,,,,,,,,,,,
JOR,Asia,Jordan,2022-01-28,1189080.0,4224.0,8440.714,13157.0,15.0,15.429,115792.916,411.334,821.959,1281.232,1.461,1.502,1.6,,,,,,,,,20171.0,14557578.0,1417.621,1.964,39737.0,3.87,0.211,4.7,tests performed,9147386.0,4568137.0,4185382.0,,,19468.0,89.08,44.48,40.76,,1896.0,5781.0,0.056,34.26,10269022.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,,,,
KAZ,Asia,Kazakhstan,2022-01-28,1302516.0,11753.0,12139.714,18454.0,24.0,13.857,68571.67,618.743,639.102,971.521,1.263,0.73,1.58,,,,,,,,,,,,,,,,,,17882989.0,9156377.0,8726612.0,,21680.0,19157.0,94.15,48.2,45.94,,1009.0,8985.0,0.047,76.85,18994958.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,,,,
KEN,Africa,Kenya,2022-01-28,321111.0,193.0,181.857,5578.0,11.0,7.143,5839.9,3.51,3.307,101.445,0.2,0.13,0.47,,,,,,,,,3659.0,3200937.0,58.214,0.067,4306.0,0.078,0.051,19.6,tests performed,11784132.0,6406701.0,5250282.0,127149.0,73496.0,62640.0,21.43,11.65,9.55,0.23,1139.0,15909.0,0.029,,54985702.0,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,,,,
