iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AUS,Oceania,Australia,2022-01-28,2523265.0,65980.0,56225.286,3632.0,155.0,84.143,97845.656,2558.533,2180.27,140.84,6.01,3.263,0.83,391.0,15.162,5021.0,194.701,,,,,102759.0,60702677.0,2353.892,3.985,138036.0,5.353,0.353,2.8,tests performed,49037474.0,21543461.0,20160170.0,7333843.0,303363.0,238946.0,190.15,83.54,78.18,28.44,9266.0,46415.0,0.18,63.43,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUT,Europe,Austria,2022-01-28,1766292.0,38631.0,33624.714,14061.0,19.0,15.0,195319.909,4271.889,3718.284,1554.892,2.101,1.659,1.55,176.0,19.462,1396.0,154.372,,,,,791137.0,140735023.0,15562.745,87.485,737857.0,81.594,0.048,20.7,tests performed,17444258.0,6736676.0,6721569.0,4332969.0,28493.0,28548.0,192.9,74.5,74.33,47.91,3157.0,3305.0,0.037,62.04,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,,,
AZE,Asia,Azerbaijan,2022-01-28,647073.0,3564.0,2379.0,8683.0,19.0,14.571,63293.674,348.614,232.703,849.331,1.858,1.425,1.68,,,,,,,,,25368.0,6119861.0,598.616,2.481,10611.0,1.038,0.191,5.2,tests performed,11905588.0,5222566.0,4736905.0,1946117.0,29515.0,21289.0,116.45,51.08,46.33,19.04,2082.0,1975.0,0.019,47.22,10223344.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,,,,
BHS,North America,Bahamas,2022-01-28,32419.0,43.0,72.0,739.0,4.0,1.857,81677.643,108.336,181.399,1861.864,10.078,4.679,1.05,,,,,,,,,882.0,207347.0,522.398,2.222,564.0,1.421,0.287,3.5,tests performed,318916.0,160505.0,151520.0,18037.0,,434.0,80.35,40.44,38.17,4.54,1093.0,110.0,0.028,42.59,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHR,Asia,Bahrain,2022-01-28,355314.0,6659.0,4430.0,1403.0,1.0,0.714,203234.58,3808.854,2533.897,802.496,0.572,0.409,1.42,,,,,,,,,,8666060.0,4956.864,,23584.0,13.49,0.161,6.2,units unclear,3346805.0,1220718.0,1192572.0,933515.0,2827.0,3494.0,191.43,69.82,68.21,53.4,1999.0,1269.0,0.073,32.41,1748295.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,,,,
BGD,Asia,Bangladesh,2022-01-28,1762771.0,15440.0,14022.143,28308.0,20.0,16.571,10599.723,92.842,84.317,170.219,0.12,0.1,1.8,,,,,,,,,46268.0,12337495.0,74.187,0.278,44176.0,0.266,0.311,3.2,tests performed,156416604.0,95440321.0,59711538.0,1264745.0,1414487.0,935050.0,94.05,57.39,35.91,0.76,5623.0,588255.0,0.354,66.67,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
BRB,North America,Barbados,2022-01-28,42851.0,729.0,668.571,277.0,0.0,0.429,148939.202,2533.819,2323.785,962.782,0.0,1.49,1.34,,,,,,,,,,,,,,,,,,304941.0,158242.0,146699.0,,222.0,127.0,105.99,55.0,50.99,,441.0,64.0,0.022,,287708.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,,,,
BLR,Europe,Belarus,2022-01-28,736299.0,2221.0,1908.571,6009.0,17.0,15.714,77974.094,235.204,202.118,636.353,1.8,1.664,1.32,,,,,,,,,,11571634.0,1225.437,,23210.0,2.458,0.08,12.5,tests performed,9328560.0,5141905.0,3910921.0,275734.0,,59185.0,98.79,54.45,41.42,2.92,6268.0,21488.0,0.228,23.15,9442867.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,,,,
BEL,Europe,Belgium,2022-01-28,3055925.0,48201.0,51240.857,28957.0,19.0,25.286,262709.53,4143.708,4405.037,2489.354,1.633,2.174,1.59,357.0,30.69,3694.0,317.563,,,2408.0,207.009,141480.0,29867771.0,2567.651,12.163,120286.0,10.341,0.463,2.2,tests performed,23965376.0,9109916.0,8852267.0,6429231.0,38308.0,50309.0,206.02,78.32,76.1,55.27,4325.0,8783.0,0.076,55.56,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,,,
BLZ,North America,Belize,2022-01-28,50487.0,693.0,676.286,625.0,1.0,1.286,124685.428,1711.47,1670.192,1543.534,2.47,3.175,1.45,,,,,,,,,,450406.0,1112.347,,2638.0,6.515,0.266,3.8,tests performed,440194.0,232022.0,202173.0,,,676.0,108.71,57.3,49.93,,1669.0,73.0,0.018,77.78,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,,
