location,date,vaccine,total_vaccinations
Ireland,2021-07-23,Moderna,501837
Ireland,2021-07-23,Oxford/AstraZeneca,1194208
Ireland,2021-07-23,Pfizer/BioNTech,3794334
Ireland,2021-07-30,Johnson&Johnson,219821
Ireland,2021-07-30,Moderna,516965
Ireland,2021-07-30,Oxford/AstraZeneca,1197169
Ireland,2021-07-30,Pfizer/BioNTech,4053138
Ireland,2021-08-06,Johnson&Johnson,225941
Ireland,2021-08-06,Moderna,537148
Ireland,2021-08-06,Oxford/AstraZeneca,1198640
Ireland,2021-08-06,Pfizer/BioNTech,4258900
Ireland,2021-08-13,Johnson&Johnson,229884
Ireland,2021-08-13,Moderna,552914
Ireland,2021-08-13,Oxford/AstraZeneca,1199226
Ireland,2021-08-13,Pfizer/BioNTech,4472108
Ireland,2021-08-20,Johnson&Johnson,233027
Ireland,2021-08-20,Moderna,560817
Ireland,2021-08-20,Oxford/AstraZeneca,1200078
Ireland,2021-08-20,Pfizer/BioNTech,4690534
Ireland,2021-08-27,Johnson&Johnson,234964
Ireland,2021-08-27,Moderna,566352
Ireland,2021-08-27,Oxford/AstraZeneca,1200805
Ireland,2021-08-27,Pfizer/BioNTech,4863910
Ireland,2021-09-03,Johnson&Johnson,235897
Ireland,2021-09-03,Moderna,570951
Ireland,2021-09-03,Oxford/AstraZeneca,1201031
Ireland,2021-09-03,Pfizer/BioNTech,4979588
Ireland,2021-09-10,Johnson&Johnson,236610
Ireland,2021-09-10,Moderna,572650
Ireland,2021-09-10,Oxford/AstraZeneca,1201255
Ireland,2021-09-10,Pfizer/BioNTech,5083489
Ireland,2021-09-17,Johnson&Johnson,237125
Ireland,2021-09-17,Moderna,573159
Ireland,2021-09-17,Oxford/AstraZeneca,1201399
Ireland,2021-09-17,Pfizer/BioNTech,5173351
Ireland,2021-09-24,Johnson&Johnson,237560
Ireland,2021-09-24,Moderna,573746
Ireland,2021-09-24,Oxford/AstraZeneca,1201502
Ireland,2021-09-24,Pfizer/BioNTech,5234924
Ireland,2021-10-01,Johnson&Johnson,237938
Ireland,2021-10-01,Moderna,573988
Ireland,2021-10-01,Oxford/AstraZeneca,1201585
Ireland,2021-10-01,Pfizer/BioNTech,5281769
Ireland,2021-10-08,Johnson&Johnson,238167
Ireland,2021-10-08,Moderna,574082
Ireland,2021-10-08,Oxford/AstraZeneca,1201646
Ireland,2021-10-08,Pfizer/BioNTech,5364598
Ireland,2021-10-15,Johnson&Johnson,238236
Ireland,2021-10-15,Moderna,574149
Ireland,2021-10-15,Oxford/AstraZeneca,1201698
Ireland,2021-10-15,Pfizer/BioNTech,5448986
Ireland,2021-10-22,Johnson&Johnson,238263
Ireland,2021-10-22,Moderna,574177
Ireland,2021-10-22,Oxford/AstraZeneca,1201730
Ireland,2021-10-22,Pfizer/BioNTech,5520333
Ireland,2021-10-29,Johnson&Johnson,238277
Ireland,2021-10-29,Moderna,574191
Ireland,2021-10-29,Oxford/AstraZeneca,1201770
Ireland,2021-10-29,Pfizer/BioNTech,5570985
Ireland,2021-11-05,Johnson&Johnson,238298
Ireland,2021-11-05,Moderna,574199
Ireland,2021-11-05,Oxford/AstraZeneca,1201779
Ireland,2021-11-05,Pfizer/BioNTech,5657018
Ireland,2021-11-12,Johnson&Johnson,238309
Ireland,2021-11-12,Moderna,574212
Ireland,2021-11-12,Oxford/AstraZeneca,1201784
Ireland,2021-11-12,Pfizer/BioNTech,5824389
Ireland,2021-11-19,Johnson&Johnson,238329
Ireland,2021-11-19,Moderna,574220
Ireland,2021-11-19,Oxford/AstraZeneca,1201789
Ireland,2021-11-19,Pfizer/BioNTech,6027223
Ireland,2021-11-26,Johnson&Johnson,238369
Ireland,2021-11-26,Moderna,574230
Ireland,2021-11-26,Oxford/AstraZeneca,1201794
Ireland,2021-11-26,Pfizer/BioNTech,6250227
Ireland,2021-12-03,Johnson&Johnson,238389
Ireland,2021-12-03,Moderna,574977
Ireland,2021-12-03,Oxford/AstraZeneca,1201800
Ireland,2021-12-03,Pfizer/BioNTech,6481721
